SEARCH_NAME,SHORT_NAME,LEGAL_ID
FRUIT SRL,S.R.L. T.B. FRUIT,1013600028762
USBA,S.R.L. USBA,1003603004810
VERIX GRUP,S.R.L. VERIX-GRUP,1002602000047
VINARIA HINCESTI,S.R.L. VINARIA HINCESTI,1014605001202
VITOIL TRADING,S.R.L. VITOIL-TRADING,1016611000707
MOLDTELECOM,SA MOLDTELECOM,1002600048836
SALAMER COM,SALAMER-COM S.R.L.,1003600109105
SALCUTA SRL,SALCUTA S.R.L.,1002600032408
SIMPLEX CO,SC SIMPLEX-CO SRL,1006600048926
BERHORD,SOCIETATEA CU RASPUNDERE LIMITATA BERHORD,1003600050470
SIMCO EURO,SOCIETATEA CU RASPUNDEREA LIMITATA?SIMCO-EURO,1002600045086
STAG REAL ESTATE,STAG REAL ESTATE S.R.L.,1019600004258
StarNet,StarNet Solutii S.R.L.,1013600032967
STAYER,STAYER S.R.L.,1003600006592
STICLAMONT,STICLAMONT S.A.,1003600019413
SUPRATEN,SUPRATEN S.A.,1003600005791
SYSTEM CAPITAL MANAGEMENT,SYSTEM CAPITAL MANAGEMENT S.R.L.,1003600072281
TEHELECTRO SV,TEHELECTRO-SV S.R.L.,1003600053851
TEHNO TREND,TEHNO-TREND S.R.L.,1013600041204
TELEMAR,TELEMAR S.R.L.,1003600098573
TERMOSTAL IMEX,TERMOSTAL IMEX S.R.L.,1003600017545
TERRARICA,TERRARICA S.R.L.,1017600039322
TRANS AGER,TRANS AGER S.R.L.,1003600099075
TRANSFER IMPEX,TRANSFER-IMPEX S.R.L.,1002600048294
TRONEX COM,TRONEX-COM S.R.L.,1002600053751
UNICORN CARPETS COMMERCE,UNICORN CARPETS COMMERCE S.R.L.,1020609004536
UNICORN CARPETS,UNICORN CARPETS S.R.L.,1017609000949
KIM INVEST,V.V.V. KIM-INVEST S.R.L.,1018600051082
VALENAGRO COM,VALENAGRO COM S.R.L.,1012607002988
VENTO,VENTO RETAIL S.R.L.,1009600044712
VERO NADINA,VERO-NADINA S.R.L.,1002609000220
VETROPACK CHISINAU,VETROPACK CHISINAU S.A.,1002600028650
VFUA TRADING,VFUA TRADING S.R.L.,1012600040532
VIORICA COSMETIC,VIORICA-COSMETIC S.A.,1002600033793
VLADALINA,VLADALINA S.R.L.,1002600029451
WETRADE,WETRADE S.R.L.,1007600048288
